time,open,high,low,close,Volume,Volume MA
2016-09-23T00:00:00Z,595.99,603.3,595.14,602.96,3723,3922.85
2016-09-24T00:00:00Z,602.96,605.94,601.08,603.68,2577,3825.35
2016-09-25T00:00:00Z,603.69,605.99,599.42,601.67,2511,3803.45
2016-09-26T00:00:00Z,601.67,607.99,600.02,607.08,4250,3811
2016-09-27T00:00:00Z,607.04,607.54,601.38,605.71,4298,3794.6
2016-09-28T00:00:00Z,605.71,606,603.18,605.04,3668,3719.4
2016-09-29T00:00:00Z,604.96,606.89,603.56,605.99,4071,3700.55
2016-09-30T00:00:00Z,605.99,608.99,605,608.99,4589,3792.1
2016-10-01T00:00:00Z,608.99,617.19,608.98,615.65,3440,3753.15
2016-10-02T00:00:00Z,615.65,615.9,608.66,612.4,2859,3700.15
2016-10-03T00:00:00Z,612.42,615.24,610.7,612.99,4397,3727.7
2016-10-04T00:00:00Z,612.99,613.23,606.93,610.34,5023,3794.65
2016-10-05T00:00:00Z,610.33,614.24,609.22,613.16,4405,3819.3
2016-10-06T00:00:00Z,613.16,613.39,610.3,611.88,3885,3807.3
2016-10-07T00:00:00Z,611.78,618.7,609.89,617.98,5083,3917.55
2016-10-08T00:00:00Z,618.11,620,617.55,619.5,2742,3904.05
2016-10-09T00:00:00Z,619.46,619.59,617,617.42,2270,3855.4
2016-10-10T00:00:00Z,617.43,619.2,615.46,618.72,3851,3821.8
2016-10-11T00:00:00Z,618.72,647.03,618.13,642.12,6278,3893.95
2016-10-12T00:00:00Z,642.3,643.58,631.91,635.79,4296,3910.8
2016-10-13T00:00:00Z,635.9,639.85,632,635.66,3795,3914.4
2016-10-14T00:00:00Z,635.8,639.99,624.08,638.03,4323,4001.7
2016-10-15T00:00:00Z,638.03,639.99,636,638.16,647,3908.5
2016-10-16T00:00:00Z,638.16,643.91,637.87,641.92,2487,3820.35
2016-10-17T00:00:00Z,642.1,643.47,636.27,639.56,3891,3800
2016-10-18T00:00:00Z,639.56,640,632.15,635.11,4068,3820
2016-10-19T00:00:00Z,635.12,636.99,625.6,629.79,4400,3836.45
2016-10-20T00:00:00Z,629.79,629.99,626.01,628.05,4123,3813.15
2016-10-21T00:00:00Z,628.19,633.41,627.5,630.83,4128,3847.55
2016-10-22T00:00:00Z,630.67,658,629.32,652.75,4542,3931.7
2016-10-23T00:00:00Z,653.03,655.8,645.33,651.04,3017,3862.7
2016-10-24T00:00:00Z,651.05,652.93,645.81,649.98,3623,3792.7
2016-10-25T00:00:00Z,649.98,657.5,648.99,654.3,4777,3811.3
2016-10-26T00:00:00Z,654.3,678,652.51,674,5801,3907.1
2016-10-27T00:00:00Z,674,692.41,673.54,691.21,6754,3990.65
2016-10-28T00:00:00Z,691.01,691.19,683.2,689.95,4354,4071.25
2016-10-29T00:00:00Z,689.95,725.64,689.39,714.28,6553,4285.4
2016-10-30T00:00:00Z,714.28,714.98,692.04,697.41,3727,4279.2
2016-10-31T00:00:00Z,697.39,709.68,681.01,696.9,4428,4186.7
2016-11-01T00:00:00Z,697.07,737.5,695.74,730.7,6877,4315.75
2016-11-02T00:00:00Z,730.7,744.6,720,744.6,5050,4378.5
2016-11-03T00:00:00Z,744.61,746.16,672.06,690,10315,4678.1
2016-11-04T00:00:00Z,690,708.33,683.8,706.32,5201,4905.8
2016-11-05T00:00:00Z,706.05,707.99,697.72,706.99,2945,4928.7
2016-11-06T00:00:00Z,706.98,719.83,705.86,717.02,2946,4881.45
2016-11-07T00:00:00Z,717.04,717.32,701.35,706.42,4149,4885.5
2016-11-08T00:00:00Z,706.41,716.45,704.16,711.15,4311,4881.05
2016-11-09T00:00:00Z,711.3,747.26,710.05,720.97,11996,5274.7
2016-11-10T00:00:00Z,721,723.61,705.84,712.91,4388,5287.7
2016-11-11T00:00:00Z,713,718.99,712.5,716.9,3308,5226
2016-11-12T00:00:00Z,716.56,716.99,702.42,704.53,3074,5228.85
2016-11-13T00:00:00Z,704.63,705.94,685.7,704.01,4140,5254.7
2016-11-14T00:00:00Z,704.01,708.57,695.07,708.32,4782,5254.95
2016-11-15T00:00:00Z,708.4,716.3,673.85,712.29,4631,5196.45
2016-11-16T00:00:00Z,711.92,743.8,710,739.85,6151,5166.3
2016-11-17T00:00:00Z,738.07,750.01,729.01,730.71,4143,5155.75
2016-11-18T00:00:00Z,729.61,751,728.89,748.54,4607,5058.45
2016-11-19T00:00:00Z,748.55,752.3,738,750.77,2905,5017.35
2016-11-20T00:00:00Z,750.77,753.81,715,731.99,4257,5008.8
2016-11-21T00:00:00Z,731.72,738.47,730,736.4,2934,4811.65
2016-11-22T00:00:00Z,736.39,748.77,726.38,746.66,4219,4770.1
2016-11-23T00:00:00Z,746.66,747.12,734,741.52,3562,4432.45
2016-11-24T00:00:00Z,741.51,743.99,727,737.99,3408,4342.8
2016-11-25T00:00:00Z,737.99,739.99,729,739.74,3100,4350.55
2016-11-26T00:00:00Z,739.51,739.98,726,735.7,2640,4335.25
2016-11-27T00:00:00Z,735.69,737.95,728.01,729.24,2622,4258.9
2016-11-28T00:00:00Z,729.24,736.44,729,729.77,3822,4234.45
2016-11-29T00:00:00Z,730.18,734.36,728.2,732.37,3771,3823.2
2016-11-30T00:00:00Z,732.44,745,729.17,742.69,3892,3798.4
2016-12-01T00:00:00Z,742.51,754.9,741.59,754,4136,3839.8
2016-12-02T00:00:00Z,754,780,753.53,769.25,6008,3986.5
2016-12-03T00:00:00Z,769.78,771.92,759,766.98,3118,3935.4
2016-12-04T00:00:00Z,766.86,769.76,762.83,767.99,2721,3832.35
2016-12-05T00:00:00Z,767.94,767.99,748.6,752,4790,3840.3
2016-12-06T00:00:00Z,752.01,761.58,752,759.8,4467,3756.1
2016-12-07T00:00:00Z,759.93,768.9,750.26,764.34,4537,3775.8
2016-12-08T00:00:00Z,764.34,772.82,761.71,767.89,4796,3785.25
2016-12-09T00:00:00Z,767.9,773.22,765.97,773.22,3887,3834.35
2016-12-10T00:00:00Z,773.15,776.99,770,775.87,3319,3787.45
2016-12-11T00:00:00Z,776.05,776.08,765,771.05,3061,3793.8
2016-12-12T00:00:00Z,771.05,782,770.88,778.94,4358,3800.75
